@relation learnngCellDatasetAge-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.instance.Resample-B1.0-S1-Z3.0

@attribute CellContent string
@attribute Header string
@attribute Stub string
@attribute SuperRow string
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasAge {No,yes}

@data
'xx.x (xx.x–xx.x)','PP xx (xxx.x \%) ; ','Median age/years (range)',' Gender',4,2,3,yes
xx,'n ; ','?Median (years)',' Age',6,1,3,yes
xx?±?xx,'Result ; ','Age, years, mean',?,1,1,3,yes
'xx (xx–xx)','No. patients (n = xx) ; ',None,None,2,1,3,yes
'xx.x (xx.x–xx.x)','Cilengitide xxx mg/mxn?=?xx ; ','Mean age (range), yrs',?,2,3,3,yes
xx?±?xx,'Result ; ','Age, years, mean',?,1,1,3,yes
'xx.x (x.x)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','?mean (SD)',' Age, years',8,1,3,yes
'xx,x ± x,x','Age (years) ; ','Stretching (xx)',None,1,1,3,yes
'xx (range xx-xx)','Number ; ',None,None,1,1,?,yes
xx.x±x.x,' ; severe ; AHI?xx n=xx ; ',Age,None,3,3,3,yes
xx.xx (xx.xx),'Patients ; TAU-Alone Group (n = xx, xx men) ; ','Age (Years)',?,3,3,3,yes
'xx.x (x.x)','Females ; (n = xx) ; ',None,None,2,2,?,yes
xx-xx,'Febuxostat xx mgN = xxx ; ',Range,?,20,1,3,yes
xx,'Number of patients ; ',?Mean,' Age (years)',8,1,3,yes
xx–xx,'n ; ','?Range (years)',' Age',7,1,3,yes
xx-xx,'Allopurinol xxx/xxx mgN = xxx ; ',Range,?,20,3,3,yes
xx,'Patient I ; ','Age (years)',None,1,1,3,yes
'xx, xx',' ; ','?Minimum, maximum',' Age, in years, median (range)',3,1,3,yes
'xx.x (x.x)','Females ; (n = xx) ; ',None,None,2,2,?,yes
'xx (xx–xx)','Control group, N?=?xx ; ','Age (median, range)',None,1,4,3,yes
xx.x(xx~xx),'(\%) ;  ;  ; ','Age, median',?,5,7,3,yes
'xx (xx–xx)',?,'Age in years, median (range)',?,4,1,3,yes
'xx.x (x.x)','Placebo, n?=?x ; ','?mean (SD)',' Age, years',8,3,3,yes
'xx.x (x.x)','All subjects, n?=?xx ; ','?mean (SD)',' Age, years',8,4,3,yes
'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,yes
'xx.x (xx–xx)','All subjects, n?=?xx ; ','?median (range)',' Age, years',9,4,3,yes
'xx.xx ± xx.xx','Age means ± SD (years) ; ','A (n = xx)',None,1,1,3,yes
xx,'Patient II ; ','Age (years)',None,1,2,3,yes
xx,'No (\%) ; ',?,' Age',3,2,3,yes
'xx.x (xx.x)','Males ; (n = xx) ; ',None,None,2,1,?,yes
'xx (xx–xx)','Nevirapine arm (n?=?xx) ; ','Age (years), median (IQR)',None,2,2,3,yes
'xx (xx-xx)','Total ; xx ; ','Median age (range), years',?,3,1,3,yes
xx.x ± x.x,'High (n = xx) ; PRE ; ','Age (years)',None,2,3,3,yes
xx.x,'Study sites ;  ; High transmission ;  ; Ampasimanjeva ; xxx ;  ; ',None,None,7,1,?,yes
'xx (xx–xx)',?,'Age in years, median (range)',?,4,1,3,yes
'xx,x ± x,x','Age (years) ; ','Strength (xx)',None,2,1,3,yes
xx.x±xx.x,' ; mild/moderate ; AHI x – xx n=xx ; ',Age,None,3,2,3,yes
'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,yes
xx,'Patient II ; ','Age (years)',None,1,2,3,yes
'xx, xx',' ; ','?Minimum, maximum',' Age, in years, median (range)',3,1,3,yes
'xx (xx–xx)','Subgroup C ; ','Median age (range)',None,2,4,3,yes
'xx.x (x.x)','Mean AGE (SD) ; ','Group x',None,2,2,3,yes
xx,'x.x ?g ; xx ; ','Median age (range), years',?,3,2,3,yes
'xx.x (xx.x)','Mixed n?=?xx ; ','Age (mean, SD)',' Sociodemographic characteristics',3,3,3,yes
xx.x?±?xx.x,'INSECT ; N?=?xxx ; ',Female,' Age (years), mean?±?SD',4,2,3,yes
xx.x?±?xx.x,'ISSAAC ; N?=?xxx ; ',Female,' Age (years), mean?±?SD',4,1,3,yes
'xx (range xx-xx)','Number ; ',None,None,1,1,?,yes
xx–xx,'No ; ',?Range,' Age, years',5,1,3,yes
'xx.xx (xx.xxx)','Placebo, n = xx ; xx (xx.x) ;  ; ',None,None,3,4,?,yes
'xx.x (x.x)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','?mean (SD)',' Age, years',8,1,3,yes
xx,'Number of patients ; ',?Mean,' Age (years)',8,1,3,yes
xx,' ; ',?Median,' Age, in years, median (range)',2,1,3,yes
xx.x?±?xx.x,'Values (N?=?xx) ; ','Age (mean ± SD)',None,2,1,3,yes
xx,'Number of patients ; ',?Mean,' Age (years)',8,1,3,yes
'xx.x (x.x)','Females ; (n = xx) ; ',None,None,2,2,?,yes
xx.x(xx~xx),'All patients ;  ;  ; ','Age, median',?,5,6,3,yes
'xx.x (xx.x–xx.x)','Cilengitide xxx mg/mxn?=?xx ; ','Mean age (range), yrs',?,2,1,3,yes
xx.x(xx~xx),'(\%) ;  ;  ; ','Age, median',?,5,7,3,yes
'xx–xx (xx ± x.x)',?,'Age, range, yr (mean ± SD)',None,1,1,3,yes
'xx.x (xx.x)','n (\%) ; ',None,None,20,1,?,yes
'xx (xx–xx)','Intervention group, N?=?xx ; ','Age (median, range)',None,1,2,3,yes
'xx.x (xx–xx)','Placebo, n?=?x ; ','?median (range)',' Age, years',9,3,3,yes
'xx.x (x.x)','Smoker Controls ; xx ;  ; ',None,None,3,3,?,yes
xx.x,'Study sites ;  ; High transmission ;  ; Ampasimanjeva ; xxx ;  ; ',None,None,7,1,?,yes
'xx (x.x)','Mean AGE (SD) ; ',Controls,None,3,2,3,yes
'xx (xx–xx)','xx Gy step (n?=?xx) ; ','Median age (years)(min-max)',?,1,2,3,yes
'xx.x (xx.x–xx.x)','ITT xx (xxx.x \%) ; ','Median age/years (range)',' Gender',4,1,3,yes
'xx.x (xx.x)','Depressive n?=?xx ; ','Age (mean, SD)',' Sociodemographic characteristics',3,4,3,yes
'xx.x ± x.x','N° (\%) ; ','Mean age (years)',None,2,1,3,yes
'xx years (xx–xx)','Number ; ','Median age (range)',?,1,1,3,yes
'xx (xx–xx)','xx Gy step (n?=?xx) ; ','Median age (years)(min-max)',?,1,2,3,yes
'xx (xx)','Celecoxib Dose ;  ; xxx mg twice daily ;  ; NAF (plasma) ; ',?Median,' Age (years)',7,1,3,yes
xx.x,'Study sites ;  ; High transmission ;  ; Vohimasy ; xxx ;  ; ',None,None,7,2,?,yes
xx,'n(\%) ; ',?Median,' Age (years)',2,1,3,yes
'xx.x ± x.x','Focal Fatty Liver (n x) ; ',Age(years),None,1,3,3,yes
'xx (xx–xx)','Group B ; (FOLFIRI-Bev) ; N?=?xxx ; ','Median (range)',' Age',4,2,3,yes
xx.x±xx.x,'OSA ; snorers ; AHI<x n=xx ; ',Age,None,3,1,3,yes
xx–xx,?,'Range, years',None,3,1,1,yes
'xx (x.x)','Cohort x ; Lapatinib x,xxx mg + placebo ; ','Mean age, years (SD)',?,3,1,3,yes
'xx.x ± xx.x','Steatohepatitis (n xx) ; ',Age(years),None,1,1,3,yes
'xx.x (xx.x–xx.x)','PP xx (xxx.x \%) ; ','Median age/years (range)',' Gender',4,2,3,yes
xx–xx,'Value ; ',?Range,' Age (years)',6,1,3,yes
'xx.x (+/? x.x)','Placebo ; ','Age (years)',None,1,2,3,yes
'xx.x (xx–xx)','Placebo, n?=?x ; ','?median (range)',' Age, years',9,3,3,yes
xx.x,'Lapatinib plus bevacizumab ; (N = xx) ; ','Median age, years',None,2,1,3,yes
xx?±?xx,'Result ; ','Age, years, mean',?,1,1,3,yes
xx.x?±?xx.x,'Values (N?=?xx) ; ','Age (mean ± SD)',None,2,1,3,yes
