@relation learnngCellDatasetGender-weka.filters.unsupervised.attribute.Remove-R1-4-weka.filters.supervised.instance.Resample-B1.0-S1-Z3.0

@attribute CellContent string
@attribute Header string
@attribute Stub string
@attribute SuperRow string
@attribute rowN numeric
@attribute columnN numeric
@attribute function numeric
@attribute hasGender {no,yes}

@data
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',16,3,3,yes
'xx (xx.x\%)','Intervention Groupn = xx ; ',?male,' Age, mean ± SD (years)',7,1,?,yes
xx,'No. of patients ; xx ; ',?Male,' Sex',5,1,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Sex',16,2,3,yes
xx.x,'\% ; xxx ; ',?Male,' Sex',5,2,3,yes
xx,'No ; ',Total,?,1,5,3,yes
xx.x,'\% ; xxx ; ',?Male,' Sex',5,2,3,yes
'xx (xx.x)','Febuxostat xx mgN = xxx ; ',Female,' Gender, n (\%)',3,2,3,yes
x/xx,'Paretic side (right/left) ; ','A (n = xx)',None,1,4,3,yes
xx,'xx ; ',?Male,' Sex',2,1,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',15,4,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; x-yr OS ; ',?,' Sex',14,6,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',14,4,3,yes
'xx (xx)','Subgroup A ; ','Male (\%)',None,3,2,3,yes
xxx,' ;  ; N ; ',?,' Sex',15,1,3,yes
'xx (xx)','n (\%) ; ',Male,?,2,1,?,yes
xx.x,'\% ; ',?Male,' Gender',4,2,3,yes
xx/x,'N° (\%) ; ',Females/males,None,1,1,3,yes
xx,'Number ; xx (range xx-xx) ;  ; x ;  ; xx ;  ; ',None,None,7,1,?,yes
x/xx,'Gender (F/M) ; ','A (n = xx)',None,1,2,3,yes
x,'Phase x - treatment ; ',Female,None,3,2,3,yes
'x (xx)','No. MALE (\%) ; ','Group x',None,1,6,3,yes
'xx (xx)','n (\%) ; ',?Male,' Sex',6,1,3,yes
'x (xx)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','Gender, male, n (\%)',?,2,1,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Sex',16,2,3,yes
xx,'No diabetes mellitus, n?=?xxx ; ','Male gender \%',?,2,2,3,yes
'xx (xx.x)','Hypomanic n?=?xx ; ','Sex, female (n,\%)',' Sociodemographic characteristics',2,2,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Sex',15,8,3,yes
'x (xx)','No. MALE (\%) ; ','Group x',None,1,6,3,yes
'xx (xx.x)','Mixed n?=?xx ; ','Sex, female (n,\%)',' Sociodemographic characteristics',2,3,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Sex',15,7,3,yes
'xx (xx)','No. MALE (\%) ; ','TOTAL COHORT',None,4,6,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',15,3,3,yes
xx,'xx ?g ; xx ; ','Male, no (\%)',?,2,3,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',15,3,3,yes
'xx (xx.xx)','Result ; ',??Male?,' Sex, n (\%) ',3,1,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Sex',16,2,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',15,4,3,yes
'xx (xx)','Group A ; (XELIRI-Bev) ; N?=?xxx ; ',Female,' Gender',10,1,3,yes
x/xx,'Paretic side (right/left) ; ','A (n = xx)',None,1,4,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Sex',14,8,3,yes
xx,'\% ; ',Total,?,1,6,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Sex',14,7,3,yes
xx,'Erlotinib ; \% ;  ;  ;  ; ',?Male,?,9,4,?,yes
xxx,' ;  ; N ; ',?,' Sex',15,1,3,yes
'xx (xx.x)','Total patient population ; ',?,?,5,1,3,yes
'xx/xx (xx/xx)','Cilengitide xxx mg/mxn?=?xx ; ','Male/female, n (\%)',?,1,2,3,yes
'xx (xx.x \%)','ITT xx (xxx.x \%) ; ',?,' Gender',3,1,3,yes
'xx (xx)','Group A ; (XELIRI-Bev) ; N?=?xxx ; ',Male,' Gender',9,1,3,yes
'xx f; x m','Sex female (f); male (m) ; ','UV exposed',None,1,1,3,yes
xx:xx,'No. patients (n = xx) ; ',None,None,4,1,3,yes
xx/x,'N° (\%) ; ',Females/males,None,1,1,3,yes
xx,'\% ; ',Total,?,1,6,3,yes
'xx (xx.x \%)','ITT xx (xxx.x \%) ; ',?,' Gender',2,1,3,yes
'xx ( xx.x \% )','Iobitridol xxx (n?=?xx) ; ',?,' Baseline characteristics',4,1,3,yes
xx,'No. of patients ; ',?Male,' Sex',3,1,3,yes
xxx,' ;  ; N ; ',?,' Sex',16,1,3,yes
'xx (xx)','All patients ; ','Male (\%)',None,3,1,3,yes
xx,'No. of patients ; ',?Female,' Sex',4,1,3,yes
xx/x,'N° (\%) ; ',Females/males,None,1,1,3,yes
xx,'Erlotinib ; No ;  ; xx ;  ; ',?Male,?,9,3,?,yes
'xx (xx.x)','Mixed n?=?xx ; ','Sex, female (n,\%)',' Sociodemographic characteristics',2,3,3,yes
'xx (xx.x \%)','PP xx (xxx.x \%) ; ',?,' Gender',3,2,3,yes
xxx,' ;  ; N ; ',?,' Sex',16,1,3,yes
xx,'First-line ;  ; No ; ',Sex,?,3,2,43,yes
'xx (xx.x)','Value ; ','Female, n (\%)',?,4,1,3,yes
xx,'First-line ;  ; No ; ',Sex,?,3,2,43,yes
'x (xx)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','Gender, male, n (\%)',?,2,1,3,yes
'xx/xx (xx/xx)','Cilengitide xxx mg/mxn?=?xx ; ','Male/female, n (\%)',?,1,2,3,yes
'x (xx)','No. MALE (\%) ; ',Controls,None,3,6,3,yes
'xx (xx.x \%)','ITT xx (xxx.x \%) ; ',?,' Gender',3,1,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Sex',16,2,3,yes
'x f; x m','Sex female (f); male (m) ; ',Non-exposed,None,2,1,3,yes
x.x,'\% ; xxx ; ',?Female,' Sex',6,2,3,yes
'xx (xx)','Nevirapine arm (n?=?xx) ; ','Females, n (\%)',None,1,2,3,yes
'xx (xx.x \%)','Total (n?=?xxx) ; ',?,' Baseline characteristics',3,3,3,yes
xx,'n ; ',?Female,' Gender',3,1,3,yes
'x (xx)','Cohort x (xxx mg of posaconazole), n?=?xx ; ','Gender, male, n (\%)',?,2,1,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; xx-yr EFS ; ',?,' Sex',15,3,3,yes
xx/x,?,'Sex (Male/Female)',None,0,1,3,yes
xx,'No diabetes mellitus, n?=?xxx ; ','Male gender \%',?,2,2,3,yes
x/x,'Group B (n?=?x) ; ','Male/female (n)',None,2,1,3,yes
'xM, xF','Sex ; ','Healthy controls',None,1,2,3,yes
'xx (xx.x)','Hypomanic n?=?xx ; ','Sex, female (n,\%)',' Sociodemographic characteristics',2,2,3,yes
'xx (xx.x\%)','Total (N?=?xxx) ; ','Gender, n (\%male)',None,2,1,3,yes
'xx (xx.x\%)','Total (N?=?xxx) ; ','Gender, n (\%male)',None,2,1,3,yes
'xx (xx.x \%)','Total (n?=?xxx) ; ',?,' Baseline characteristics',3,3,3,yes
xx,'xx ; ',?Male,' Sex',2,1,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Sex',16,8,3,yes
xx,'Gefitinib ; \% ;  ;  ;  ; ',?Male,?,9,2,?,yes
'xx (xx.x \%)','PP xx (xxx.x \%) ; ',?,' Gender',2,2,3,yes
xx.x,'\% ; xxx ; ',?Male,' Sex',5,2,3,yes
'xx.x ± x.x','Overall Survival ± SE (\%) ;  ; xx-yr OS ; ',?,' Sex',16,8,3,yes
'xx (xx)','n (\%) ; ',Male,?,2,1,?,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Sex',15,2,3,yes
'xx (xx.x\%)','Intervention Groupn = xx ; ',?female,' Age, mean ± SD (years)',6,1,?,yes
xx,'Number ; xx (range xx-xx) ;  ; x ;  ; xx ;  ; ',None,None,7,1,?,yes
x/x,'Group BT (n?=?x) ; ','CP type, hemiplegic/diplegic(n)',None,3,2,3,yes
'xx.x ± x.x','Event-free Survival ± SE (\%) ;  ; x-yr EFS ; ',?,' Sex',15,2,3,yes
'xx (xx)','n (\%) ; ',?Female,' Sex',7,1,3,yes
