inst#,actual,predicted,error,prediction
922,1:no,1:no,,0.658
923,1:no,1:no,,0.895
924,1:no,1:no,,0.723
925,1:no,1:no,,0.708
926,1:no,1:no,,0.907
927,1:no,1:no,,0.756
928,1:no,1:no,,0.751
929,1:no,1:no,,0.911
930,1:no,1:no,,0.8
931,1:no,1:no,,0.784
932,1:no,1:no,,0.915
933,1:no,1:no,,0.845
934,1:no,1:no,,0.835
935,1:no,1:no,,0.896
936,1:no,1:no,,0.771
937,1:no,1:no,,0.796
938,1:no,1:no,,0.896
939,1:no,1:no,,0.696
940,1:no,1:no,,0.682
941,1:no,1:no,,0.898
942,1:no,1:no,,0.703
943,1:no,1:no,,0.69
944,1:no,1:no,,0.899
945,1:no,1:no,,0.779
946,1:no,1:no,,0.806
947,1:no,1:no,,0.913
948,1:no,1:no,,0.805
949,1:no,1:no,,0.792
950,1:no,1:no,,0.896
951,1:no,1:no,,0.809
952,1:no,1:no,,0.805
953,1:no,1:no,,0.904
954,1:no,1:no,,0.687
955,1:no,1:no,,0.669
956,1:no,1:no,,0.874
957,1:no,1:no,,0.646
958,1:no,1:no,,0.658
959,1:no,1:no,,0.903
960,1:no,1:no,,0.699
961,1:no,1:no,,0.711
962,1:no,1:no,,0.9
963,1:no,1:no,,0.678
964,1:no,1:no,,0.676
965,1:no,1:no,,0.879
966,1:no,1:no,,0.679
967,1:no,1:no,,0.705
968,1:no,1:no,,0.903
969,1:no,1:no,,0.699
970,1:no,1:no,,0.711
971,1:no,1:no,,0.915
972,1:no,1:no,,0.769
973,1:no,1:no,,0.741
974,1:no,1:no,,0.902
975,1:no,1:no,,0.755
976,1:no,1:no,,0.725
977,1:no,1:no,,0.793
978,1:no,1:no,,0.702
979,1:no,1:no,,0.725
980,1:no,1:no,,0.691
981,1:no,1:no,,0.705
982,1:no,2:yes,+,0.592
983,1:no,2:yes,+,0.6
984,1:no,2:yes,+,0.645
985,1:no,1:no,,0.847
986,1:no,1:no,,0.84
987,1:no,1:no,,0.679
988,1:no,1:no,,0.703
989,1:no,1:no,,0.669
990,1:no,1:no,,0.72
991,1:no,1:no,,0.608
992,1:no,1:no,,0.625
993,1:no,1:no,,0.594
994,1:no,1:no,,0.694
995,2:yes,2:yes,,0.701
996,2:yes,2:yes,,0.711
997,2:yes,2:yes,,0.727
998,1:no,1:no,,0.705
999,2:yes,2:yes,,0.539
1000,2:yes,2:yes,,0.537
1001,2:yes,2:yes,,0.552
1002,1:no,1:no,,0.869
1003,1:no,1:no,,0.708
1004,1:no,1:no,,0.726
1005,1:no,1:no,,0.689
1006,1:no,1:no,,0.871
1007,1:no,1:no,,0.764
1008,1:no,1:no,,0.77
1009,1:no,1:no,,0.734
1010,1:no,1:no,,0.858
1011,1:no,1:no,,0.708
1012,1:no,1:no,,0.67
1013,1:no,1:no,,0.641
1014,1:no,1:no,,0.868
1015,1:no,1:no,,0.728
1016,1:no,1:no,,0.73
1017,1:no,1:no,,0.729
1018,1:no,1:no,,0.869
1019,1:no,1:no,,0.733
1020,1:no,1:no,,0.735
1021,1:no,1:no,,0.738
1022,1:no,1:no,,0.878
1023,1:no,1:no,,0.74
1024,1:no,1:no,,0.892
1025,1:no,1:no,,0.762
1026,1:no,1:no,,0.762
1027,1:no,1:no,,0.724
1028,1:no,1:no,,0.871
1029,1:no,1:no,,0.793
1030,1:no,1:no,,0.78
1031,1:no,1:no,,0.747
1032,1:no,1:no,,0.86
1033,1:no,1:no,,0.695
1034,1:no,1:no,,0.735
1035,1:no,1:no,,0.631
1036,1:no,1:no,,0.861
1037,1:no,1:no,,0.739
1038,1:no,1:no,,0.675
1039,1:no,1:no,,0.631
1040,1:no,1:no,,0.9
1041,1:no,1:no,,0.776
1042,1:no,1:no,,0.773
1043,1:no,1:no,,0.735
1044,1:no,1:no,,0.903
1045,1:no,1:no,,0.834
1046,1:no,1:no,,0.824
1047,1:no,1:no,,0.807
1048,1:no,1:no,,0.867
1049,1:no,1:no,,0.799
1050,1:no,1:no,,0.787
1051,1:no,1:no,,0.79
1052,1:no,1:no,,0.868
1053,1:no,1:no,,0.8
1054,1:no,1:no,,0.764
1055,1:no,1:no,,0.752
1056,1:no,1:no,,0.806
1057,1:no,1:no,,0.777
1058,1:no,1:no,,0.776
1059,1:no,1:no,,0.845
1060,1:no,1:no,,0.766
1061,1:no,1:no,,0.783
1062,1:no,1:no,,0.858
1063,1:no,1:no,,0.621
1064,1:no,1:no,,0.738
1065,1:no,1:no,,0.837
1066,1:no,1:no,,0.722
1067,1:no,1:no,,0.869
1068,1:no,1:no,,0.685
1069,1:no,1:no,,0.701
1070,1:no,1:no,,0.633
1071,1:no,1:no,,0.527
1072,1:no,1:no,,0.532
1073,1:no,1:no,,0.53
1074,2:yes,2:yes,,0.812
1075,2:yes,2:yes,,0.84
1076,1:no,1:no,,0.556
1077,2:yes,2:yes,,0.778
1078,2:yes,2:yes,,0.838
1079,1:no,1:no,,0.883
1080,1:no,1:no,,0.755
1081,1:no,1:no,,0.726
1082,1:no,1:no,,0.895
1083,1:no,1:no,,0.803
1084,1:no,1:no,,0.791
1085,1:no,1:no,,0.875
1086,1:no,1:no,,0.705
1087,1:no,1:no,,0.643
1088,1:no,1:no,,0.876
1089,1:no,1:no,,0.682
1090,1:no,1:no,,0.656
1091,1:no,1:no,,0.876
1092,1:no,1:no,,0.725
1093,1:no,1:no,,0.752
1094,1:no,1:no,,0.902
1095,1:no,1:no,,0.795
1096,1:no,1:no,,0.76
1097,1:no,1:no,,0.88
1098,1:no,1:no,,0.824
1099,1:no,1:no,,0.817
1100,1:no,1:no,,0.87
1101,1:no,1:no,,0.69
1102,1:no,1:no,,0.646
1103,1:no,1:no,,0.879
1104,1:no,1:no,,0.727
1105,1:no,1:no,,0.681
1106,1:no,1:no,,0.883
1107,1:no,1:no,,0.769
1108,1:no,1:no,,0.763
1109,1:no,1:no,,0.911
1110,1:no,1:no,,0.815
1111,1:no,1:no,,0.777
1112,1:no,1:no,,0.909
1113,1:no,1:no,,0.842
1114,1:no,1:no,,0.831
1115,1:no,1:no,,0.895
1116,1:no,1:no,,0.734
1117,1:no,1:no,,0.73
1118,1:no,1:no,,0.916
1119,1:no,1:no,,0.743
1120,1:no,1:no,,0.818
1121,1:no,1:no,,0.918
1122,1:no,1:no,,0.765
1123,1:no,1:no,,0.821
1124,1:no,1:no,,0.919
1125,1:no,1:no,,0.751
1126,1:no,1:no,,0.823
1127,1:no,1:no,,0.889
1128,1:no,1:no,,0.752
1129,1:no,1:no,,0.713
1130,1:no,1:no,,0.913
1131,1:no,1:no,,0.82
1132,1:no,1:no,,0.792
1133,1:no,1:no,,0.917
1134,1:no,1:no,,0.874
1135,1:no,1:no,,0.856
1136,1:no,1:no,,0.919
1137,1:no,1:no,,0.762
1138,1:no,1:no,,0.736
1139,1:no,1:no,,0.925
1140,1:no,1:no,,0.785
1141,1:no,1:no,,0.754
1142,1:no,1:no,,0.919
1143,1:no,1:no,,0.762
1144,1:no,1:no,,0.736
1145,1:no,1:no,,0.919
1146,1:no,1:no,,0.797
1147,1:no,1:no,,0.736
1148,1:no,1:no,,0.919
1149,1:no,1:no,,0.797
1150,1:no,1:no,,0.736
1151,1:no,1:no,,0.919
1152,1:no,1:no,,0.797
1153,1:no,1:no,,0.816
1154,1:no,1:no,,0.913
1155,1:no,1:no,,0.82
1156,1:no,1:no,,0.792
1157,1:no,1:no,,0.907
1158,1:no,1:no,,0.865
1159,1:no,1:no,,0.823
1160,1:no,1:no,,0.841
1161,1:no,1:no,,0.759
1162,1:no,1:no,,0.683
1163,1:no,1:no,,0.841
1164,1:no,1:no,,0.759
1165,1:no,1:no,,0.683
1166,1:no,1:no,,0.841
1167,1:no,1:no,,0.759
1168,1:no,1:no,,0.683
1169,1:no,1:no,,0.785
1170,1:no,1:no,,0.767
1171,1:no,1:no,,0.823
1172,1:no,1:no,,0.739
1173,2:yes,2:yes,,0.554
1174,1:no,1:no,,0.831
1175,1:no,1:no,,0.718
1176,1:no,1:no,,0.756
1177,1:no,1:no,,0.733
1178,1:no,1:no,,0.662
1179,1:no,2:yes,+,0.58
1180,1:no,1:no,,0.591
1181,1:no,2:yes,+,0.536
1182,1:no,1:no,,0.847
1183,1:no,1:no,,0.813
1184,1:no,1:no,,0.794
1185,1:no,1:no,,0.607
1186,1:no,1:no,,0.862
1187,1:no,1:no,,0.825
1188,1:no,1:no,,0.872
1189,1:no,1:no,,0.876
1190,1:no,1:no,,0.871
1191,1:no,1:no,,0.789
1192,1:no,1:no,,0.847
1193,1:no,1:no,,0.782
1194,1:no,1:no,,0.843
1195,1:no,1:no,,0.787
1196,1:no,1:no,,0.848
1197,1:no,1:no,,0.706
1198,1:no,1:no,,0.849
1199,1:no,1:no,,0.706
1200,1:no,1:no,,0.873
1201,1:no,1:no,,0.86
1202,1:no,1:no,,0.897
1203,1:no,1:no,,0.914
1204,1:no,1:no,,0.832
1205,1:no,1:no,,0.749
1206,1:no,1:no,,0.832
1207,1:no,1:no,,0.749
1208,1:no,1:no,,0.875
1209,1:no,1:no,,0.862
1210,1:no,1:no,,0.82
1211,1:no,1:no,,0.834
1212,1:no,1:no,,0.831
1213,1:no,1:no,,0.679
1214,1:no,1:no,,0.834
1215,1:no,1:no,,0.694
1216,1:no,1:no,,0.832
1217,1:no,1:no,,0.753
1218,1:no,1:no,,0.832
1219,1:no,1:no,,0.753
1220,1:no,1:no,,0.833
1221,1:no,1:no,,0.753
1222,1:no,1:no,,0.832
1223,1:no,1:no,,0.753
1224,1:no,1:no,,0.833
1225,1:no,1:no,,0.573
1226,2:yes,2:yes,,0.658
1227,1:no,1:no,,0.842
1228,1:no,1:no,,0.719
1229,1:no,1:no,,0.832
1230,1:no,1:no,,0.76
1231,1:no,1:no,,0.827
1232,1:no,1:no,,0.627
1233,1:no,1:no,,0.837
1234,1:no,1:no,,0.654
1235,1:no,1:no,,0.837
1236,1:no,1:no,,0.755
1237,1:no,1:no,,0.875
1238,1:no,1:no,,0.757
1239,1:no,1:no,,0.873
1240,1:no,1:no,,0.774
1241,1:no,1:no,,0.867
1242,1:no,1:no,,0.802
1243,1:no,1:no,,0.877
1244,1:no,1:no,,0.691
1245,1:no,1:no,,0.876
1246,1:no,1:no,,0.707
1247,1:no,1:no,,0.882
1248,1:no,1:no,,0.779
1249,1:no,1:no,,0.892
1250,1:no,1:no,,0.813
1251,1:no,1:no,,0.885
1252,1:no,1:no,,0.846
1253,1:no,1:no,,0.892
1254,1:no,1:no,,0.776
1255,1:no,1:no,,0.897
1256,1:no,1:no,,0.783
1257,1:no,1:no,,0.793
1258,1:no,1:no,,0.735
1259,1:no,1:no,,0.775
1260,1:no,1:no,,0.792
1261,1:no,1:no,,0.716
1262,1:no,1:no,,0.756
1263,1:no,1:no,,0.873
1264,1:no,1:no,,0.84
1265,1:no,1:no,,0.711
1266,1:no,1:no,,0.753
1267,1:no,1:no,,0.897
1268,1:no,1:no,,0.858
1269,1:no,1:no,,0.879
1270,1:no,1:no,,0.896
1271,1:no,1:no,,0.727
1272,1:no,1:no,,0.735
1273,1:no,1:no,,0.897
1274,1:no,1:no,,0.719
1275,1:no,1:no,,0.726
1276,1:no,1:no,,0.897
1277,1:no,1:no,,0.722
1278,1:no,1:no,,0.729
1279,1:no,1:no,,0.899
1280,1:no,1:no,,0.765
1281,1:no,1:no,,0.768
1282,1:no,1:no,,0.881
1283,1:no,1:no,,0.788
1284,1:no,1:no,,0.801
1285,1:no,1:no,,0.853
1286,1:no,1:no,,0.806
1287,1:no,1:no,,0.814
1288,1:no,1:no,,0.84
1289,1:no,1:no,,0.671
1290,1:no,1:no,,0.685
1291,1:no,1:no,,0.87
1292,1:no,1:no,,0.676
1293,1:no,1:no,,0.685
1294,1:no,1:no,,0.869
1295,1:no,1:no,,0.671
1296,1:no,1:no,,0.68
1297,1:no,1:no,,0.892
1298,1:no,1:no,,0.807
1299,1:no,1:no,,0.82
1300,1:no,1:no,,0.879
1301,1:no,1:no,,0.823
1302,1:no,1:no,,0.834
1303,1:no,1:no,,0.896
1304,1:no,1:no,,0.705
1305,1:no,1:no,,0.714
1306,1:no,1:no,,0.9
1307,1:no,1:no,,0.719
1308,1:no,1:no,,0.729
1309,1:no,1:no,,0.9
1310,1:no,1:no,,0.72
1311,1:no,1:no,,0.729
1312,1:no,1:no,,0.906
1313,1:no,1:no,,0.816
1314,1:no,1:no,,0.822
1315,1:no,1:no,,0.904
1316,1:no,1:no,,0.727
1317,1:no,1:no,,0.736
1318,1:no,1:no,,0.902
1319,1:no,1:no,,0.806
1320,1:no,1:no,,0.812
1321,1:no,1:no,,0.904
1322,1:no,1:no,,0.735
1323,1:no,1:no,,0.744
1324,1:no,1:no,,0.905
1325,1:no,1:no,,0.838
1326,1:no,1:no,,0.848
1327,1:no,1:no,,0.905
1328,1:no,1:no,,0.865
1329,1:no,1:no,,0.872
1330,1:no,1:no,,0.891
1331,1:no,1:no,,0.757
1332,1:no,1:no,,0.769
1333,1:no,1:no,,0.891
1334,1:no,1:no,,0.756
1335,1:no,1:no,,0.769
1336,1:no,1:no,,0.891
1337,1:no,1:no,,0.756
1338,1:no,1:no,,0.769
1339,1:no,1:no,,0.911
1340,1:no,1:no,,0.793
1341,1:no,1:no,,0.803
1342,1:no,1:no,,0.905
1343,1:no,1:no,,0.838
1344,1:no,1:no,,0.848
1345,1:no,1:no,,0.91
1346,1:no,1:no,,0.867
1347,1:no,1:no,,0.877
1348,1:no,1:no,,0.898
1349,1:no,1:no,,0.76
1350,1:no,1:no,,0.774
1351,1:no,1:no,,0.898
1352,1:no,1:no,,0.76
1353,1:no,1:no,,0.774
1354,1:no,1:no,,0.898
1355,1:no,1:no,,0.837
1356,1:no,1:no,,0.774
1357,1:no,1:no,,0.898
1358,1:no,1:no,,0.837
1359,1:no,1:no,,0.843
1360,1:no,1:no,,0.898
1361,1:no,1:no,,0.837
1362,1:no,1:no,,0.858
1363,1:no,1:no,,0.919
1364,1:no,1:no,,0.854
1365,1:no,1:no,,0.86
1366,1:no,1:no,,0.905
1367,1:no,1:no,,0.838
1368,1:no,1:no,,0.848
1369,1:no,1:no,,0.896
1370,1:no,1:no,,0.851
1371,1:no,1:no,,0.861
1372,1:no,1:no,,0.902
1373,1:no,1:no,,0.752
1374,1:no,1:no,,0.761
1375,1:no,1:no,,0.902
1376,1:no,1:no,,0.752
1377,1:no,1:no,,0.761
1378,1:no,1:no,,0.902
1379,1:no,1:no,,0.752
1380,1:no,1:no,,0.761
1381,1:no,1:no,,0.902
1382,1:no,1:no,,0.825
1383,1:no,1:no,,0.816
1384,1:no,1:no,,0.905
1385,1:no,1:no,,0.811
1386,1:no,1:no,,0.817
1387,1:no,1:no,,0.905
1388,1:no,1:no,,0.838
1389,1:no,1:no,,0.848
1390,1:no,1:no,,0.904
1391,1:no,1:no,,0.86
1392,1:no,1:no,,0.87
1393,1:no,1:no,,0.897
1394,1:no,1:no,,0.761
1395,1:no,1:no,,0.77
1396,1:no,1:no,,0.897
1397,1:no,1:no,,0.761
1398,1:no,1:no,,0.77
1399,1:no,1:no,,0.909
1400,1:no,1:no,,0.838
1401,1:no,1:no,,0.844
1402,1:no,1:no,,0.905
1403,1:no,1:no,,0.838
1404,1:no,1:no,,0.848
1405,1:no,1:no,,0.904
1406,1:no,1:no,,0.86
1407,1:no,1:no,,0.87
1408,1:no,1:no,,0.887
1409,1:no,1:no,,0.757
1410,1:no,1:no,,0.77
1411,1:no,1:no,,0.906
1412,1:no,1:no,,0.814
1413,1:no,1:no,,0.821
1414,1:no,1:no,,0.909
1415,1:no,1:no,,0.805
1416,1:no,1:no,,0.815
1417,1:no,1:no,,0.905
1418,1:no,1:no,,0.838
1419,1:no,1:no,,0.848
1420,1:no,1:no,,0.913
1421,1:no,1:no,,0.878
1422,1:no,1:no,,0.889
1423,1:no,1:no,,0.908
1424,1:no,1:no,,0.771
1425,1:no,1:no,,0.775
1426,1:no,1:no,,0.908
1427,1:no,1:no,,0.783
1428,1:no,1:no,,0.796
1429,1:no,1:no,,0.908
1430,1:no,1:no,,0.848
1431,1:no,1:no,,0.854
1432,1:no,1:no,,0.908
1433,1:no,1:no,,0.861
1434,1:no,1:no,,0.871
1435,1:no,1:no,,0.908
1436,1:no,1:no,,0.861
1437,1:no,1:no,,0.871
1438,1:no,1:no,,0.923
1439,1:no,1:no,,0.867
1440,1:no,1:no,,0.873
1441,1:no,1:no,,0.793
1442,1:no,1:no,,0.773
1443,1:no,1:no,,0.728
1444,1:no,2:yes,+,0.61
1445,1:no,1:no,,0.814
1446,1:no,1:no,,0.588
1447,1:no,1:no,,0.838
1448,1:no,1:no,,0.851
1449,1:no,1:no,,0.73
1450,1:no,1:no,,0.837
1451,1:no,1:no,,0.523
1452,1:no,1:no,,0.837
1453,1:no,1:no,,0.529
1454,1:no,1:no,,0.849
1455,1:no,1:no,,0.745
1456,1:no,1:no,,0.848
1457,1:no,1:no,,0.564
1458,1:no,1:no,,0.867
1459,1:no,1:no,,0.617
1460,1:no,1:no,,0.866
1461,1:no,1:no,,0.58
1462,1:no,1:no,,0.897
1463,1:no,1:no,,0.828
1464,1:no,1:no,,0.894
1465,1:no,1:no,,0.741
1466,1:no,1:no,,0.861
1467,1:no,1:no,,0.772
1468,1:no,1:no,,0.882
1469,1:no,1:no,,0.656
1470,1:no,1:no,,0.885
1471,1:no,1:no,,0.65
1472,1:no,1:no,,0.888
1473,1:no,1:no,,0.667
1474,1:no,1:no,,0.885
1475,1:no,1:no,,0.68
1476,1:no,1:no,,0.888
1477,1:no,1:no,,0.743
1478,1:no,1:no,,0.898
1479,1:no,1:no,,0.818
1480,1:no,1:no,,0.874
1481,1:no,1:no,,0.709
1482,1:no,1:no,,0.874
1483,1:no,1:no,,0.709
1484,1:no,1:no,,0.793
1485,1:no,1:no,,0.735
1486,1:no,1:no,,0.794
1487,1:no,1:no,,0.569
1488,1:no,2:yes,+,0.539
1489,1:no,1:no,,0.513
1490,1:no,2:yes,+,0.576
1491,2:yes,2:yes,,0.85
1492,2:yes,2:yes,,0.815
1493,1:no,2:yes,+,0.52
1494,2:yes,2:yes,,0.859
1495,2:yes,2:yes,,0.817
1496,1:no,1:no,,0.858
1497,1:no,1:no,,0.731
1498,1:no,1:no,,0.783
1499,1:no,1:no,,0.867
1500,1:no,1:no,,0.826
1501,1:no,1:no,,0.846
1502,1:no,1:no,,0.845
1503,1:no,1:no,,0.869
1504,1:no,1:no,,0.747
1505,1:no,1:no,,0.786
1506,1:no,1:no,,0.799
1507,1:no,1:no,,0.707
1508,1:no,1:no,,0.728
1509,1:no,1:no,,0.715
1510,1:no,1:no,,0.541
1511,1:no,1:no,,0.604
1512,1:no,1:no,,0.722
1513,1:no,1:no,,0.553
1514,1:no,1:no,,0.616
1515,1:no,1:no,,0.741
1516,1:no,1:no,,0.574
1517,1:no,1:no,,0.629
1518,1:no,1:no,,0.892
1519,1:no,1:no,,0.813
1520,1:no,1:no,,0.836
1521,1:no,1:no,,0.906
1522,1:no,1:no,,0.891
1523,1:no,1:no,,0.897
1524,1:no,1:no,,0.917
1525,1:no,1:no,,0.892
1526,1:no,1:no,,0.807
1527,1:no,1:no,,0.831
1528,1:no,1:no,,0.671
1529,1:no,1:no,,0.57
1530,1:no,1:no,,0.6
1531,1:no,1:no,,0.717
1532,1:no,1:no,,0.511
1533,1:no,1:no,,0.543
1534,1:no,1:no,,0.699
1535,1:no,2:yes,+,0.518
1536,1:no,1:no,,0.521
1537,1:no,1:no,,0.7
1538,1:no,2:yes,+,0.512
1539,1:no,1:no,,0.526
1540,1:no,1:no,,0.7
1541,1:no,2:yes,+,0.512
1542,1:no,1:no,,0.527
1543,1:no,1:no,,0.701
1544,1:no,1:no,,0.564
1545,1:no,1:no,,0.598
1546,1:no,1:no,,0.904
1547,1:no,1:no,,0.837
1548,1:no,1:no,,0.857
1549,1:no,1:no,,0.735
1550,1:no,1:no,,0.539
1551,1:no,1:no,,0.571
1552,1:no,1:no,,0.704
1553,1:no,2:yes,+,0.503
1554,1:no,1:no,,0.535
1555,1:no,1:no,,0.718
1556,1:no,1:no,,0.589
1557,1:no,1:no,,0.577
1558,1:no,1:no,,0.712
1559,1:no,1:no,,0.558
1560,1:no,1:no,,0.592
1561,1:no,1:no,,0.725
1562,1:no,1:no,,0.591
1563,1:no,1:no,,0.626
1564,1:no,1:no,,0.705
1565,1:no,1:no,,0.538
1566,1:no,1:no,,0.563
1567,1:no,1:no,,0.725
1568,1:no,1:no,,0.543
1569,1:no,1:no,,0.552
1570,1:no,1:no,,0.896
1571,1:no,1:no,,0.851
1572,1:no,1:no,,0.87
1573,1:no,1:no,,0.902
1574,1:no,1:no,,0.794
1575,1:no,1:no,,0.809
1576,1:no,1:no,,0.902
1577,1:no,1:no,,0.794
1578,1:no,1:no,,0.809
1579,1:no,1:no,,0.902
1580,1:no,1:no,,0.794
1581,1:no,1:no,,0.809
1582,1:no,1:no,,0.902
1583,1:no,1:no,,0.794
1584,1:no,1:no,,0.809
1585,1:no,1:no,,0.905
1586,1:no,1:no,,0.801
1587,1:no,1:no,,0.816
1588,1:no,1:no,,0.905
1589,1:no,1:no,,0.825
1590,1:no,1:no,,0.841
1591,1:no,1:no,,0.895
1592,1:no,1:no,,0.912
1593,1:no,1:no,,0.903
1594,1:no,1:no,,0.878
1595,1:no,1:no,,0.793
1596,1:no,1:no,,0.735
1597,1:no,1:no,,0.794
1598,1:no,1:no,,0.858
1599,1:no,1:no,,0.705
1600,1:no,1:no,,0.771
1601,1:no,1:no,,0.81
1602,1:no,1:no,,0.731
1603,1:no,1:no,,0.787
1604,1:no,1:no,,0.85
1605,1:no,1:no,,0.689
1606,1:no,1:no,,0.723
1607,1:no,1:no,,0.86
1608,1:no,1:no,,0.64
1609,1:no,1:no,,0.669
1610,1:no,1:no,,0.822
1611,1:no,1:no,,0.866
1612,1:no,1:no,,0.749
1613,1:no,1:no,,0.79
1614,1:no,1:no,,0.839
1615,1:no,1:no,,0.766
1616,1:no,1:no,,0.805
1617,1:no,1:no,,0.861
1618,1:no,1:no,,0.694
1619,1:no,1:no,,0.722
1620,1:no,1:no,,0.881
1621,1:no,1:no,,0.702
1622,1:no,1:no,,0.725
1623,1:no,1:no,,0.886
1624,1:no,1:no,,0.892
1625,1:no,1:no,,0.813
1626,1:no,1:no,,0.836
1627,1:no,1:no,,0.872
1628,1:no,1:no,,0.815
1629,1:no,1:no,,0.838
1630,1:no,1:no,,0.884
1631,1:no,1:no,,0.761
1632,1:no,1:no,,0.783
1633,1:no,1:no,,0.898
1634,1:no,1:no,,0.742
1635,1:no,1:no,,0.764
1636,1:no,1:no,,0.898
1637,1:no,1:no,,0.893
1638,1:no,1:no,,0.808
1639,1:no,1:no,,0.831
1640,1:no,1:no,,0.885
1641,1:no,1:no,,0.833
1642,1:no,1:no,,0.854
1643,1:no,1:no,,0.893
1644,1:no,1:no,,0.774
1645,1:no,1:no,,0.797
1646,1:no,1:no,,0.915
1647,1:no,1:no,,0.786
1648,1:no,1:no,,0.808
1649,1:no,1:no,,0.907
1650,1:no,1:no,,0.806
1651,1:no,1:no,,0.749
1652,1:no,1:no,,0.876
1653,1:no,1:no,,0.848
1654,1:no,1:no,,0.857
1655,1:no,1:no,,0.897
1656,1:no,1:no,,0.791
1657,1:no,1:no,,0.881
1658,1:no,1:no,,0.625
1659,1:no,1:no,,0.883
1660,1:no,1:no,,0.649
1661,1:no,1:no,,0.884
1662,1:no,1:no,,0.717
1663,1:no,1:no,,0.793
1664,1:no,1:no,,0.792
1665,1:no,1:no,,0.865
1666,1:no,1:no,,0.695
1667,1:no,1:no,,0.862
1668,1:no,1:no,,0.829
1669,1:no,1:no,,0.854
1670,1:no,1:no,,0.888
1671,1:no,1:no,,0.793
1672,1:no,1:no,,0.871
1673,1:no,1:no,,0.707
1674,1:no,1:no,,0.878
1675,1:no,1:no,,0.715
1676,1:no,1:no,,0.878
1677,1:no,1:no,,0.74
1678,1:no,1:no,,0.793
1679,1:no,1:no,,0.723
1680,1:no,1:no,,0.758
1681,1:no,1:no,,0.784
1682,1:no,1:no,,0.646
1683,1:no,1:no,,0.715
1684,1:no,1:no,,0.74
1685,1:no,1:no,,0.517
1686,1:no,2:yes,+,0.524
1687,1:no,1:no,,0.846
1688,1:no,1:no,,0.845
1689,1:no,1:no,,0.676
1690,1:no,1:no,,0.71
1691,1:no,1:no,,0.851
1692,1:no,1:no,,0.716
1693,1:no,1:no,,0.765
1694,1:no,1:no,,0.814
1695,1:no,1:no,,0.587
1696,1:no,1:no,,0.535
1697,1:no,1:no,,0.822
1698,1:no,1:no,,0.589
1699,1:no,1:no,,0.542
1700,1:no,1:no,,0.825
1701,1:no,1:no,,0.674
1702,1:no,1:no,,0.711
1703,1:no,1:no,,0.855
1704,1:no,1:no,,0.732
1705,1:no,1:no,,0.746
1706,1:no,1:no,,0.872
1707,1:no,1:no,,0.795
1708,1:no,1:no,,0.826
1709,1:no,1:no,,0.835
1710,1:no,1:no,,0.715
1711,1:no,1:no,,0.677
1712,1:no,1:no,,0.835
1713,1:no,1:no,,0.718
1714,1:no,1:no,,0.681
1715,1:no,1:no,,0.835
1716,1:no,1:no,,0.751
1717,1:no,1:no,,0.768
1718,1:no,1:no,,0.866
1719,1:no,1:no,,0.755
1720,1:no,1:no,,0.763
1721,1:no,1:no,,0.834
1722,1:no,1:no,,0.775
1723,1:no,1:no,,0.782
1724,1:no,1:no,,0.84
1725,1:no,1:no,,0.639
1726,1:no,1:no,,0.611
1727,1:no,1:no,,0.874
1728,1:no,1:no,,0.69
1729,1:no,1:no,,0.667
1730,1:no,1:no,,0.858
1731,1:no,1:no,,0.737
1732,1:no,1:no,,0.657
1733,1:no,1:no,,0.858
1734,1:no,1:no,,0.682
1735,1:no,1:no,,0.657
1736,1:no,1:no,,0.858
1737,1:no,1:no,,0.743
1738,1:no,1:no,,0.657
1739,1:no,1:no,,0.861
1740,1:no,1:no,,0.752
1741,1:no,1:no,,0.657
1742,1:no,1:no,,0.876
1743,1:no,1:no,,0.787
1744,1:no,1:no,,0.789
1745,1:no,1:no,,0.878
1746,1:no,1:no,,0.842
1747,1:no,1:no,,0.878
1748,1:no,1:no,,0.871
1749,1:no,1:no,,0.798
1750,1:no,1:no,,0.747
1751,1:no,1:no,,0.865
1752,1:no,1:no,,0.772
1753,1:no,1:no,,0.732
1754,1:no,1:no,,0.865
1755,1:no,1:no,,0.738
1756,1:no,1:no,,0.732
1757,1:no,1:no,,0.88
1758,1:no,1:no,,0.819
1759,1:no,1:no,,0.847
1760,1:no,1:no,,0.88
1761,1:no,1:no,,0.819
1762,1:no,1:no,,0.847
1763,1:no,1:no,,0.873
1764,1:no,1:no,,0.764
1765,1:no,1:no,,0.749
1766,1:no,1:no,,0.877
1767,1:no,1:no,,0.789
1768,1:no,1:no,,0.794
1769,1:no,1:no,,0.872
1770,1:no,1:no,,0.701
1771,1:no,1:no,,0.677
1772,1:no,1:no,,0.872
1773,1:no,1:no,,0.701
1774,1:no,1:no,,0.677
1775,1:no,1:no,,0.866
1776,1:no,1:no,,0.658
1777,1:no,1:no,,0.623
1778,1:no,1:no,,0.866
1779,1:no,1:no,,0.729
1780,1:no,1:no,,0.756
1781,1:no,1:no,,0.785
1782,1:no,1:no,,0.751
1783,1:no,1:no,,0.699
1784,1:no,1:no,,0.647
1785,1:no,1:no,,0.652
1786,2:yes,2:yes,,0.543
1787,1:no,1:no,,0.686
1788,2:yes,2:yes,,0.55
1789,1:no,1:no,,0.858
1790,1:no,1:no,,0.731
1791,1:no,1:no,,0.815
1792,1:no,1:no,,0.782
1793,1:no,1:no,,0.796
1794,1:no,1:no,,0.643
1795,1:no,1:no,,0.802
