	Misc
INTERACTING DRUGINTERACTING DRUG	Drug Name or Drug Class
3-HYDROXYDESLORATADINE	Drug Name or Drug Class
DRUG INTERACTIONS	Effect on Drug
CLINICALCOMMENT	Recommendation or Comment
NO CLINICALLY SIGNIFICANT INTERACTION OBSERVED	Recommendation or Comment
FAMOTIDINE	Drug Name or Drug Class
CONCOMITANTDRUG CLASS: DRUG NAME	Drug Name or Drug Class
DOSING SCHEDULE	Interacting Substance Properties
AUCSS (0-12H) (EXTENT OF SYSTEMIC EXPOSURE)	Interaction Properties
DRUGS THAT MAY DECREASE SERUM TBG CONCENTRATION	Drug Name or Drug Class
OTHER DRUGS/DIETARYSUPPLEMENTS	Drug Name or Drug Class
EFFECTÃ‚Â ONÃ‚Â ACTIVE MOIETYÃ‚Â (RISPERIDONEÃ‚Â +Ã‚Â 9- HYDROXY-Ã‚Â RISPERIDONEÃ‚Â (RATIO*)	Effect on Drug
C MAX	Interaction Properties
DIHYDROPYRIDINE CALCIUM CHANNEL BLOCKERS (CYP3A4 INHIBITION)	Drug Name or Drug Class
DRUGOR DRUG CLASS	Drug Name or Drug Class
ALPHA-BLOCKER	Drug Name or Drug Class
AUC SS(0Ã‚â‚¬â€œ12H) (EXTENT OF SYSTEMIC EXPOSURE)	Interaction Properties
OXCARBAZEPINE DOSE (MG/DAY)	Drug Name or Drug Class
EFFECT ON ACTIVE MOEITY (RISPERIDONE + 9-HYDROXY-RISPERIDONE (RATIO CHANGE RELATIVE TO REFERENCE )	Effect on Drug
CONCOMITANT DRUG CLASS: SPECIFIC DRUGS	Drug Name or Drug Class
ANTI-INFLAMMATORY DRUGS	Drug Name or Drug Class
VIAGRA 25 MG	Drug Name or Drug Class
RATIO (WITH/WITHOUT CRIXIVAN) OF COADMINISTERED DRUG PHARMACOKINETIC PARAMETERS (90% CI); NO EFFECT = 1.00	Recommendation or Comment
EFFECT ON Ã‚Â CONCENTRATION OF LAMOTRIGINE OR CONCOMITANT DRUG	Effect on Drug
DRUG/DRUG CLASS (MECHANISM OF INTERACTION BY THE DRUG)	Drug Name or Drug Class
*FIRST-DOSE VALUES; ALL OTHER PARAMETERS ARE LAST-DOSE VALUES	Recommendation or Comment
CALCIUM CHANNEL BLOCKERS	Drug Name or Drug Class
INCREASED RISK OF MYOPATHY/RHABDOMYOLYSIS ( 2 , 5.1 , 7 , 12.3 )	Recommendation or Comment
CMAX	Interaction Properties
AEDÃ‚Â COADMINISTERED	Drug Name or Drug Class
BLOOD DYSCRASIAS - SEE CANCER COLLAGEN VASCULAR DISEASE CONGESTIVE HEART FAILURE CONTRAINDICATIONS	Recommendation or Comment
INDUCERS	Drug Name or Drug Class
EFFECT ON CONCENTRATION OF LAMOTRIGINE OR CONCOMITANT DRUG	Effect on Drug
CLINICAL COMMENTS	Recommendation or Comment
AUC SS(0-12H ) (EXTENT OF SYSTEMIC EXPOSURE)	Interaction Properties
*REFER TO PRECAUTIONS, DRUG INTERACTIONS FOR INFORMATION REGARDING TABLE.	Recommendation or Comment
A) THIS TABLE IS NOT ALL INCLUSIVE.	Recommendation or Comment
EFFECT ON CONCENTRATION OF INCIVEK OR CONCOMITANT DRUG	Effect on Drug
RISPERIDONE	Drug Name or Drug Class
TABLE 7 SUMMARY OF AED INTERACTIONS WITH OXCARBAZEPINE	Interaction Properties
SUBSTANCE	Drug Name or Drug Class
ANTIFUNGALS	Drug Name or Drug Class
AED COADMINISTERED	Drug Name or Drug Class
*NOT ADMINISTERED BUT AN ACTIVE METABOLITE OF CARBAMAZEPINE.	Recommendation or Comment
ORAL HYPOGLYCEMICS	Drug Name or Drug Class
DRUG OR DRUG CLASS	Drug Name or Drug Class
1 NC DENOTES A MEAN CHANGE OF LESS THAN 10%	Recommendation or Comment
DRUGS THAT AFFECT RENAL FUNCTION	Drug Name or Drug Class
NA Ã‚â‚¬â€œ NOT AVAILABLE * - 90% CONFIDENCE INTERVAL NOT REPORTED MEAN AZITHROMYCIN CONCENTRATIONS ONE DAY AFTER THE LAST DOSE WERE 53 NG/ML WHEN COADMINISTERED WITH 300 MG DAILY RIFABUTIN AND 49 NG/ML WHEN COADMINISTERED WITH PLACEBO.	Recommendation or Comment
EFFECT ON CONCENTRATION OF TIPRANAVIR OR CONCOMITANT DRUG	Effect on Drug
ANTIBIOTICS CIPROFLOXACIN GENTAMICIN TOBRAMYCIN TRIMETHOPRIM WITH SULFAMETHOXAZOLE VANCOMYCIN	Drug Name or Drug Class
DRUGSÃ‚Â THATÃ‚Â AFFECTÃ‚Â RENAL FUNCTION	Drug Name or Drug Class
DOSING OF VARDENAFIL 5 MG AND ALPHA-BLOCKER SEPARATED BY 6 HOURS, PLACEBO-SUBTRACTED	Drug Name or Drug Class
EFFECT ON CONCENTRATION OF NEVIRAPINE OR CONCOMITANT DRUG	Effect on Drug
COADMINISTERED DRUG (POSTULATED EFFECT ON CYP450/UGT)	Drug Name or Drug Class
DESCRIPTION	Recommendation or Comment
ALBUTEROL, SYSTEMIC AND INHALED	Drug Name or Drug Class
EFFECT ON ACTIVE MOIETY (RISPERIDONE + 9-HYDROXY-RISPERIDONE (RATIO * )	Effect on Drug
CONCOMITANT DRUG CLASS: DRUG NAME	Drug Name or Drug Class
RISPERIDONE DOSE RECOMMENDATION	Recommendation or Comment
ANTICONVULSANTS	Drug Name or Drug Class
INTERACTION DRUG	Drug Name or Drug Class
DOSE OF MIDAZOLAM	Drug Name or Drug Class
OBSERVED DRUG INTERACTIONS	Interaction Properties
FELODIPINEFINASTERIDE	Drug Name or Drug Class
SPECIFIC DRUGS REPORTED	Drug Name or Drug Class
AEDÃ‚Â CONCENTRATION	Drug Name or Drug Class
MEAN (Ã‚Â± SD)	Interaction Properties
DILUENT	Drug Name or Drug Class
EFFECT ON ACTIVE MOIETY (RISPERIDONE + 9- HYDROXY-RISPERIDONE(RATIO*)	Effect on Drug
RISPERIDONEÃ‚Â DOSE RECOMMENDATION	Recommendation or Comment
STAVUDINE DOSAGE	Drug Name or Drug Class
EFFECT ON ASENAPINE PHARMACOKINETICS	Effect on Drug
POSSIBLE MECHANISM	Interacting Substance Properties
DRUGS THAT MAY REDUCE TSH SECRETION -THE REDUCTION IS NOT SUSTAINED; THEREFORE, HYPOTHYROIDISM DOES NOT OCCUR	Drug Name or Drug Class
C MAX SS (PEAK PLASMA CONCENTRATION)	Interaction Properties
EFFECT ON COADMINISTERED DRUG	Effect on Drug
NA - NOT AVAILABLE * - 90% CONFIDENCE INTERVAL NOT REPORTED MEAN RIFABUTIN CONCENTRATIONS ONE-HALF DAY AFTER THE LAST DOSE OF RIFABUTIN WERE 60 NG/ML WHEN COADMINISTERED WITH AZITHROMYCIN AND 71 NG/ML WHEN COADMINISTERED WITH PLACEBO.	Recommendation or Comment
CLINICAL COMMENT	Recommendation or Comment
CLINICAL RECOMMENDATIONS	Recommendation or Comment
DESLORATADINE	Drug Name or Drug Class
EFFECT OF CONCOMITANT DRUG ON PAROXETINE	Effect on Drug
DAY 5 AUC AT DAY 5 IS AUC 0Ã‚â‚¬â€œ24	Interaction Properties
BLOOD DYSCRASIAS - SEE CONTRAINDICATIONS CANCER COLLAGEN VASCULAR DISEASE CONGESTIVE HEART FAILURE	Misc.
CHANGE IN THE CONCENTRATION OF GANCICLOVIR OR CONCOMITANT DRUG	Effect on Drug
Ã‚â€ â€� INDICATES NO CHANGE, OR MEAN INCREASE OR DECREASE OF LESS THAN 10%.	Interaction Properties
INCREASED	Misc.
DRUGS WITH CLINICAL RECOMMENDATIONS REGARDING COADMINISTRATION (SEE PRECAUTIONS , DRUG INTERACTIONS )	Drug Name or Drug Class
ANTI-INFLAMMATORY DRUGS AZAPROPAZON COLCHICINE DICLOFENAC NAPROXEN SULINDAC	Drug Name or Drug Class
EFFECT ON CONCENTRATION OF DELAVIRDINE OR CONCOMITANT DRUG	Effect on Drug
3A4	Drug Name or Drug Class
