idCell,specId,TableOrder,Content,concepts,semanticTypes
26219,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    serum transport - but FT
                                    4 
                                    concentration remains normal; and, therefore, the patient remains euthyroid
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0229671, C1546774, C1550100, C0005528, C1317949, C3495449, C1881534, C3890579, C0004268, C0086045, C1446561, C0205307, C0439166, C2347086, C0030705, C2360836, C2360838, C2360840, C0117002","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Cell Function (celf), Manufactured Object (mnob), Medical Device (medd), Functional Concept (ftcn), Idea or Concept (idcn), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Finding (fndg)"
26220,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    serum transport - but FT
                                    4 
                                    concentration remains normal; and, therefore, the patient remains euthyroid
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0229671, C1546774, C1550100, C0005528, C1317949, C3495449, C1881534, C3890579, C0004268, C0086045, C1446561, C0205307, C0439166, C2347086, C0030705, C2360836, C2360838, C2360840, C0117002","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Cell Function (celf), Manufactured Object (mnob), Medical Device (medd), Functional Concept (ftcn), Idea or Concept (idcn), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Finding (fndg)"
26221,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    serum transport - but FT
                                    4 
                                    concentration remains normal; and, therefore, the patient remains euthyroid
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0229671, C1546774, C1550100, C0005528, C1317949, C3495449, C1881534, C3890579, C0004268, C0086045, C1446561, C0205307, C0439166, C2347086, C0030705, C2360836, C2360838, C2360840, C0117002","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Cell Function (celf), Manufactured Object (mnob), Medical Device (medd), Functional Concept (ftcn), Idea or Concept (idcn), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Finding (fndg)"
26222,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    serum transport - but FT
                                    4 
                                    concentration remains normal; and, therefore, the patient remains euthyroid
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0229671, C1546774, C1550100, C0005528, C1317949, C3495449, C1881534, C3890579, C0004268, C0086045, C1446561, C0205307, C0439166, C2347086, C0030705, C2360836, C2360838, C2360840, C0117002","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Cell Function (celf), Manufactured Object (mnob), Medical Device (medd), Functional Concept (ftcn), Idea or Concept (idcn), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Patient or Disabled Group (podg), Clinical Attribute (clna), Clinical Attribute (clna), Clinical Attribute (clna), Finding (fndg)"
26223,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0442805, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
26224,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0442805, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
26225,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0442805, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
26226,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease serum TBG concentration
                                    
                                 ","C0013227, C3687832, C0392756, C0547047, C0683149, C3814864, C0004268, C0086045, C1446561, C1420598","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Mental Process (menp), Quantitative Concept (qnco), Gene or Genome (gngm)"
26227,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen","C0332256, C2700400, C0442027, C0442027, C0011892","Functional Concept (ftcn), Activity (acty), Spatial Concept (spco), Spatial Concept (spco), Hazardous or Poisonous Substance (hops)"
26228,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen","C0332256, C2700400, C0442027, C0442027, C0011892","Functional Concept (ftcn), Activity (acty), Spatial Concept (spco), Spatial Concept (spco), Hazardous or Poisonous Substance (hops)"
26229,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen","C0332256, C2700400, C0442027, C0442027, C0011892","Functional Concept (ftcn), Activity (acty), Spatial Concept (spco), Spatial Concept (spco), Hazardous or Poisonous Substance (hops)"
26230,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid","C0002844, C0002744, C0030685, C0391871, C0439180, C0680255, C1283071, C1963578, C0027996, C0028049, C3536880, C3714626","Hormone (horm), Organic Chemical (orch), Health Care Activity (hlca), Functional Concept (ftcn), Quantitative Concept (qnco), Health Care Activity (hlca), Functional Concept (ftcn), Therapeutic or Preventive Procedure (topp), Organic Chemical (orch), Organic Chemical (orch), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu)"
26231,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
26232,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
26233,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
26234,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may cause protein-binding site displacement
                                 ","C0013227, C3687832, C0015127, C1524003, C0033618, C0033684, C0205145, C1515974, C2825164, C0012725, C0012727, C0456080, C2347509, C0005456, C0682969","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Conceptual Entity (cnce), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Spatial Concept (spco), Body Location or Region (blor), Spatial Concept (spco), Mental Process (menp), Spatial Concept (spco), Qualitative Concept (qlco), Phenomenon or Process (phpr), Receptor (rcpt), Amino Acid Sequence (amas)"
26235,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)","C0016860, C0450371, C0026410, C0439269, C1960952, C2346927, C0022326, C0260264, C1955898, C3542931, C0439417","Organic Chemical (orch), Organism Attribute (orga), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Geographic Area (geoa), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Quantitative Concept (qnco)"
26236,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)","C0016860, C0450371, C0026410, C0439269, C1960952, C2346927, C0022326, C0260264, C1955898, C3542931, C0439417","Organic Chemical (orch), Organism Attribute (orga), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Geographic Area (geoa), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Quantitative Concept (qnco)"
26237,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day)","C0016860, C0450371, C0026410, C0439269, C1960952, C2346927, C0022326, C0260264, C1955898, C3542931, C0439417","Organic Chemical (orch), Organism Attribute (orga), Geographic Area (geoa), Quantitative Concept (qnco), Quantitative Concept (qnco), Element, Ion, or Isotope (elii), Geographic Area (geoa), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Quantitative Concept (qnco)"
26238,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.","C0001554, C1533734, C0450442, C1254351, C1521826, C0040165, C1881373, C1274040, C1546471, C2825142, C0205265, C1279901, C1555582, C1705685, C0040704, C0205374, C0442805, C3147341, C0549178, C0001554, C1533734, C1274040, C1546471, C2825142, C0392756, C0547047, C0229671, C1546774, C1550100, C0041403, C0205307, C0439166, C2347086, C3147341, C0086045, C0030705, C0117002, C0036077, C0018790, C0028778, C0233660, C0237477, C0332206, C0392351, C0521111, C1533157, C1706084, C2828370, C3811660, C1145667, C1167622, C0041403, C0041403, C3814864, C0032923, C0337441, C1421224, C0205265, C1279901, C1555582, C1705685, C0442805, C0229671, C1546774, C1550100, C3147341, C0332283, C0332156, C3147341, C0205307, C0439166, C2347086, C0441889, C0443318, C0087111, C0302350, C0683149, C0036075, C0036077, C0439175, C0041403, C0439810, C0441889, C0392756, C0547047, C0205393, C0450371","Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Chemical Viewed Functionally (chvf), Pharmacologic Substance (phsu), Intellectual Product (inpr), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Temporal Concept (tmco), Qualitative Concept (qlco), Idea or Concept (idcn), Functional Concept (ftcn), Population Group (popg), Temporal Concept (tmco), Functional Concept (ftcn), Gene or Genome (gngm), Idea or Concept (idcn), Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Qualitative Concept (qlco), Quantitative Concept (qnco), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Geographic Area (geoa), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Gene or Genome (gngm), Mental Process (menp), Patient or Disabled Group (podg), Finding (fndg), Organic Chemi"
26239,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    metabolism
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0025519, C0025520","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Organism Function (orgf), Functional Concept (ftcn)"
26240,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    metabolism
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0025519, C0025520","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Organism Function (orgf), Functional Concept (ftcn)"
26241,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    metabolism
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0025519, C0025520","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Organism Function (orgf), Functional Concept (ftcn)"
26242,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may alter T
                                    4 
                                    and T
                                    3 
                                    metabolism
                                 ","C0013227, C3687832, C0392747, C2603360, C2603360, C0025519, C0025520","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Clinical Attribute (clna), Clinical Attribute (clna), Organism Function (orgf), Functional Concept (ftcn)"
26243,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase hepatic metabolism, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0442805, C1274040, C1546471, C2825142, C0020676, C1373178","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn), Organ or Tissue Function (ortf)"
26244,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase hepatic metabolism, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0442805, C1274040, C1546471, C2825142, C0020676, C1373178","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn), Organ or Tissue Function (ortf)"
26245,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase hepatic metabolism, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0442805, C1274040, C1546471, C2825142, C0020676, C1373178","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn), Organ or Tissue Function (ortf)"
26246,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may increase hepatic metabolism, which may result in hypothyroidism
                                 ","C0013227, C3687832, C0442805, C1274040, C1546471, C2825142, C0020676, C1373178","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Functional Concept (ftcn), Functional Concept (ftcn), Idea or Concept (idcn), Finding (fndg), Disease or Syndrome (dsyn), Organ or Tissue Function (ortf)"
26250,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Stimulation of hepatic microsomal drug-metabolizing enzyme activity may cause increased hepatic degradation of levothyroxine, resulting in increased Ievothyroxine requirements. Phenytoin and carbamazepine reduce serum protein binding of levothyroxine, and total- and free-T4 may be reduced by 20% to 40%, but most patients have normal serum TSH levels and are clinically euthyroid.","C1292856, C1948023, C0428321, C0205054, C1979928, C0013227, C1254351, C0205177, C0439167, C0441655, C1561536, C3668946, C0015127, C1524003, C0205217, C0442805, C0205054, C0243125, C0699900, C0040165, C1881373, C0678226, C0520917, C0031507, C0006949, C0682993, C0229671, C1546774, C1550100, C1145667, C1167622, C0040165, C1881373, C0439175, C0439810, C0332296, C0041403, C1880497, C1996904, C0392756, C0450371, C0450371, C0030705, C0205307, C0439166, C2347086, C0117002, C0243102, C0036825, C0229671, C1546774, C1550100, C0033618, C1277938","Therapeutic or Preventive Procedure (topp), Natural Phenomenon or Process (npop), Laboratory Procedure (lbpr), Body Location or Region (blor), Qualitative Concept (qlco), Pharmacologic Substance (phsu), Pharmacologic Substance (phsu), Functional Concept (ftcn), Quantitative Concept (qnco), Activity (acty), Idea or Concept (idcn), Finding (fndg), Functional Concept (ftcn), Conceptual Entity (cnce), Quantitative Concept (qnco), Functional Concept (ftcn), Body Location or Region (blor), Functional Concept (ftcn), Organism Function (orgf), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Functional Concept (ftcn), Pathologic Function (patf), Organic Chemical (orch), Organic Chemical (orch), Organic Chemical (orch), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Activity (acty), Molecular Function (moft), Amino Acid, Peptide, or Protein (aapp), Organic Chemical (orch), Quantitative Concept (qnco), Qualitative Concept (qlco), Functional Concept (ftcn), Geographic Area (ge"
26251,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
26252,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
26253,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
26254,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Drugs that may decrease T
                                    4 
                                    5' - deiodinase activity
                                 ","C0013227, C3687832, C0392756, C0547047, C2603360, C1151530, C2260422, C2260426, C2260427","Pharmacologic Substance (phsu), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Clinical Attribute (clna), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft), Molecular Function (moft)"
26255,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0033497, C0017710, C3540777, C3540778, C0033511, C0242889, C2757018, C1442061, C1442442, C1608330, C0439422, C0011777, C0439422","Organic Chemical (orch), Hormone (horm), Hormone (horm), Organic Chemical (orch), Nucleic Acid, Nucleoside, or Nucleotide (nnon), Pharmacologic Substance (phsu), Molecular Function (moft), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organic Chemical (orch), Quantitative Concept (qnco)"
26256,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0033497, C0017710, C3540777, C3540778, C0033511, C0242889, C2757018, C1442061, C1442442, C1608330, C0439422, C0011777, C0439422","Organic Chemical (orch), Hormone (horm), Hormone (horm), Organic Chemical (orch), Nucleic Acid, Nucleoside, or Nucleotide (nnon), Pharmacologic Substance (phsu), Molecular Function (moft), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organic Chemical (orch), Quantitative Concept (qnco)"
26257,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)","C0033497, C0017710, C3540777, C3540778, C0033511, C0242889, C2757018, C1442061, C1442442, C1608330, C0439422, C0011777, C0439422","Organic Chemical (orch), Hormone (horm), Hormone (horm), Organic Chemical (orch), Nucleic Acid, Nucleoside, or Nucleotide (nnon), Pharmacologic Substance (phsu), Molecular Function (moft), Laboratory Procedure (lbpr), Clinical Attribute (clna), Clinical Attribute (clna), Quantitative Concept (qnco), Organic Chemical (orch), Quantitative Concept (qnco)"
26258,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).","C0001554, C1533734, C0392756, C0547047, C0205100, C0439836, C0041403, C0041403, C0332152, C1522538, C0205216, C0392756, C0442797, C0041403, C0441889, C0229671, C1546774, C1550100, C0041403, C0441889, C3538928, C3888388, C0205307, C0439166, C2347086, C1998882, C0750482, C2937276, C0205217, C0442805, C0030705, C1522326, C0549177, C0178602, C0033497, C0014432, C1152555, C2756995, C1442061, C1442442, C1608330, C0439422, C0041403, C0041403, C0441889, C0392747, C0443172, C1705241, C0750482, C2937276, C0202230, C0205307, C0439166, C2347086, C0030705, C0117002, C1316572, C1317574, C0441472, C0001645, C0178504, C2757061, C0221099, C0020676, C0030705, C2360836, C2360838, C2360840, C0117002, C1301808, C1442792, C3148680, C0443303, C0001554, C1533734, C0549177, C0178602, C0017710, C3540777, C3540778, C0392756, C0547047, C0683149, C0041403, C0450371, C3845594, C0229671, C1546774, C1550100, C0041403, C0441889, C0443252, C0744425, C1274040, C1546471, C2825142, C0750482, C2937276, C0205216, C0392756, C0442797, C0041403, C004","Occupational Activity (ocac), Therapeutic or Preventive Procedure (topp), Qualitative Concept (qlco), Quantitative Concept (qnco), Spatial Concept (spco), Functional Concept (ftcn), Geographic Area (geoa), Geographic Area (geoa), Temporal Concept (tmco), Functional Concept (ftcn), Quantitative Concept (qnco), Qualitative Concept (qlco), Qualitative Concept (qlco), Geographic Area (geoa), Qualitative Concept (qlco), Body Substance (bdsu), Intellectual Product (inpr), Body Substance (bdsu), Geographic Area (geoa), Qualitative Concept (qlco), Qualitative Concept (qlco), Intellectual Product (inpr), Qualitative Concept (qlco), Quantitative Concept (qnco), Quantitative Concept (qnco), Temporal Concept (tmco), Qualitative Concept (qlco), Qualitative Concept (qlco), Quantitative Concept (qnco), Functional Concept (ftcn), Patient or Disabled Group (podg), Functional Concept (ftcn), Quantitative Concept (qnco), Quantitative Concept (qnco), Organic Chemical (orch), Pharmacologic Substance (phsu), Molecular Function (mo"
26259,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
26260,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
26261,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
26262,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","
                                    Miscellaneous
                                 ","C0205395, C1706184","Qualitative Concept (qlco), Quantitative Concept (qnco)"
26263,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives","C0003280, C0442027, C0010207","Pharmacologic Substance (phsu), Spatial Concept (spco), Organic Chemical (orch)"
26264,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives","C0003280, C0442027, C0010207","Pharmacologic Substance (phsu), Spatial Concept (spco), Organic Chemical (orch)"
26265,9562b54c-7ccd-411f-8e84-0c9de897cfea,"Table 2","Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives","C0003280, C0442027, C0010207","Pharmacologic Substance (phsu), Spatial Concept (spco), Organic Chemical (orch)"
